user_id,name,region,gender,diet,sleep_type,cleanliness,noise_preference,smoking_drinking,social_energy_rating,interests,openness,conscientiousness,extraversion,agreeableness,neuroticism,working_style,productive_time,priority_style,time_commitment,goal_topic,preferred_language,duty_preference,room_type_preference,privacy_importance
SYN_0001,User_1,synthetic_region,male,non-vegetarian,light sleeper,messy,noisy,non-smoker/non-drinker,9,"ai,movies",2,10,7,1,1,independent,afternoon,grades,balanced,daa project,java,cleaning,private,medium
SYN_0002,User_2,synthetic_region,male,vegan,light sleeper,messy,normal,non-smoker/non-drinker,2,"ai,reading,coding,music",7,2,6,6,10,collaborative,morning,balanced,deep effort,daa project,javascript,cooking,shared,high
SYN_0003,User_3,synthetic_region,other,non-vegetarian,heavy sleeper,messy,quiet,non-smoker/non-drinker,7,"music,movies,ai,reading",5,8,6,3,6,collaborative,afternoon,balanced,deep effort,daa project,java,cooking,private,medium
SYN_0004,User_4,synthetic_region,other,vegan,light sleeper,messy,quiet,drinker,7,"travel,movies,reading,gaming,coding",5,2,4,10,6,independent,night,innovation,balanced,startup idea,java,cleaning,private,low
SYN_0005,User_5,synthetic_region,female,non-vegetarian,mixed,both,quiet,non-smoker/non-drinker,2,"reading,travel,music,sports",3,3,7,10,2,collaborative,night,balanced,deep effort,college event,python,cooking,shared,high
SYN_0006,User_6,synthetic_region,male,vegetarian,mixed,organized,normal,okay with habits,3,"coding,sports,music,gaming",9,2,5,9,10,independent,afternoon,innovation,fast delivery,daa project,cpp,cleaning,private,low
SYN_0007,User_7,synthetic_region,other,vegetarian,light sleeper,organized,normal,non-smoker/non-drinker,9,"travel,coding,ai,reading",3,3,8,9,3,collaborative,night,grades,balanced,hackathon ai,cpp,cleaning,shared,medium
SYN_0008,User_8,synthetic_region,female,no restrictions,mixed,messy,noisy,smoker,1,"coding,gaming,reading,ai,sports",2,1,4,2,1,collaborative,morning,balanced,fast delivery,college event,javascript,cooking,private,high
SYN_0009,User_9,synthetic_region,female,vegetarian,mixed,both,normal,both,7,"music,reading,gaming,movies,coding",8,1,2,1,7,balanced,evening,grades,fast delivery,hackathon ai,java,cleaning,private,medium
SYN_0010,User_10,synthetic_region,female,jain,mixed,messy,quiet,okay with habits,1,"travel,music,coding",2,4,3,7,8,collaborative,afternoon,innovation,fast delivery,hackathon ai,javascript,cooking,shared,medium
SYN_0011,User_11,synthetic_region,female,non-vegetarian,heavy sleeper,messy,quiet,okay with habits,9,"travel,music,movies,gaming,reading",1,6,1,1,10,collaborative,afternoon,grades,balanced,daa project,java,cooking,private,high
SYN_0012,User_12,synthetic_region,female,no restrictions,mixed,messy,noisy,non-smoker/non-drinker,7,"reading,ai,travel",10,10,9,6,5,independent,evening,grades,deep effort,startup idea,java,cleaning,shared,medium
SYN_0013,User_13,synthetic_region,other,no restrictions,light sleeper,messy,noisy,smoker,9,"ai,music",5,3,6,2,4,collaborative,evening,grades,deep effort,college event,python,cleaning,private,low
SYN_0014,User_14,synthetic_region,female,vegan,heavy sleeper,organized,quiet,drinker,4,"coding,ai,movies,travel",5,9,8,5,1,independent,night,innovation,fast delivery,daa project,cpp,cooking,shared,low
SYN_0015,User_15,synthetic_region,other,non-vegetarian,mixed,messy,normal,okay with habits,9,"reading,travel,ai,movies,gaming",3,7,3,1,5,collaborative,morning,innovation,fast delivery,hackathon ai,python,cleaning,shared,high
SYN_0016,User_16,synthetic_region,female,jain,light sleeper,messy,noisy,drinker,7,"music,reading,coding",4,5,3,2,7,independent,night,grades,fast delivery,startup idea,cpp,cleaning,private,low
SYN_0017,User_17,synthetic_region,male,vegan,light sleeper,both,normal,okay with habits,7,"music,gaming",9,6,1,2,5,independent,evening,grades,fast delivery,startup idea,cpp,cleaning,shared,high
SYN_0018,User_18,synthetic_region,female,vegan,light sleeper,organized,normal,non-smoker/non-drinker,9,"reading,travel",9,4,6,7,2,balanced,evening,balanced,deep effort,daa project,cpp,cleaning,shared,medium
SYN_0019,User_19,synthetic_region,other,jain,mixed,organized,quiet,okay with habits,10,"travel,gaming,coding,movies,music",5,7,9,1,5,collaborative,afternoon,innovation,balanced,college event,javascript,cleaning,shared,high
SYN_0020,User_20,synthetic_region,female,vegetarian,heavy sleeper,organized,noisy,okay with habits,6,"gaming,reading,movies",2,4,5,4,4,independent,morning,grades,fast delivery,startup idea,python,cleaning,shared,high
SYN_0021,User_21,synthetic_region,female,non-vegetarian,mixed,organized,quiet,non-smoker/non-drinker,7,"reading,music,gaming",4,3,9,8,1,balanced,afternoon,grades,deep effort,hackathon ai,javascript,cleaning,shared,high
SYN_0022,User_22,synthetic_region,male,non-vegetarian,mixed,both,noisy,both,4,"gaming,coding,movies,music,travel",5,8,2,5,4,collaborative,evening,innovation,balanced,daa project,java,cooking,private,medium
SYN_0023,User_23,synthetic_region,male,vegan,mixed,both,normal,non-smoker/non-drinker,4,"music,ai,gaming",7,7,10,1,10,collaborative,night,grades,deep effort,college event,javascript,cleaning,private,medium
SYN_0024,User_24,synthetic_region,female,jain,heavy sleeper,organized,noisy,both,3,"travel,music,reading",8,3,10,9,1,collaborative,morning,grades,balanced,startup idea,java,cleaning,private,low
SYN_0025,User_25,synthetic_region,male,vegan,heavy sleeper,both,normal,drinker,2,"reading,sports,coding,music",8,1,9,1,6,independent,morning,balanced,fast delivery,daa project,java,cooking,private,high
SYN_0026,User_26,synthetic_region,other,vegetarian,mixed,messy,normal,drinker,6,"music,coding,gaming",3,10,10,2,3,collaborative,morning,balanced,fast delivery,college event,javascript,cleaning,private,low
SYN_0027,User_27,synthetic_region,other,no restrictions,light sleeper,organized,quiet,drinker,9,"coding,movies,sports",7,6,2,9,6,independent,night,innovation,fast delivery,startup idea,cpp,cleaning,private,medium
SYN_0028,User_28,synthetic_region,male,jain,heavy sleeper,organized,noisy,drinker,6,"travel,gaming,reading",4,2,5,8,4,collaborative,night,innovation,fast delivery,startup idea,cpp,cooking,shared,low
SYN_0029,User_29,synthetic_region,other,vegan,mixed,messy,noisy,smoker,2,"travel,sports,reading,gaming",4,7,8,9,4,balanced,night,balanced,balanced,startup idea,javascript,cooking,private,medium
SYN_0030,User_30,synthetic_region,male,no restrictions,heavy sleeper,both,noisy,okay with habits,6,"reading,movies,coding",7,9,6,6,8,collaborative,evening,innovation,fast delivery,daa project,java,cleaning,private,high
